Year,Country,Location,Name,Type,VEI,Coordinates
2019,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2019,Italy,Italy,Stromboli,Stratovolcano,2.0,"38.789, 15.213"
2019,New Zealand,New Zealand,White Island,Stratovolcano,2.0,"-37.52, 177.18"
2019,Italy,Italy,Stromboli,Stratovolcano,2.0,"38.789, 15.213"
2019,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2018,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
2018,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2018,Vanuatu,Vanuatu-SW Pacific,Aoba,Shield volcano,3.0,"-15.4, 167.83"
2018,United States,Hawaiian Is,Kilauea,Shield volcano,1.0,"19.425, -155.292"
2018,Vanuatu,Vanuatu-SW Pacific,Ambrym,Pyroclastic shield,2.0,"-16.25, 168.12"
2018,Guatemala,Guatemala,Fuego,Stratovolcano,2.0,"14.473, -90.88"
2018,Indonesia,Indonesia,Krakatau,Caldera,1.0,"-6.102, 105.423"
2018,United States,Hawaiian Is,Kilauea,Shield volcano,1.0,"19.425, -155.292"
2017,Guatemala,Guatemala,Fuego,Stratovolcano,2.0,"14.473, -90.88"
2017,Indonesia,Sumatra,Sinabung,Stratovolcano,2.0,"3.17, 98.392"
2015,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,2.0,"-4.1, 145.061"
2014,Japan,Honshu-Japan,On-take,Complex volcano,3.0,"35.9, 137.48"
2013,Indonesia,Lesser Sunda Is,Paluweh,Stratovolcano,3.0,"-8.32, 121.708"
2013,Indonesia,Sumatra,Sinabung,Stratovolcano,2.0,"3.17, 98.392"
2011,Chile,Chile-C,Puyehue,Stratovolcano,4.0,"-40.59, -72.117"
2011,Philippines,Luzon-Philippines,Bulusan,Stratovolcano,2.0,"12.77, 124.05"
2011,Indonesia,Halmahera-Indonesia,Gamalama,Stratovolcano,3.0,"0.8, 127.325"
2011,Eritrea,Africa-NE,Nabro,Stratovolcano,3.0,"13.37, 41.7"
2011,Ecuador,Ecuador,Tungurahua,Stratovolcano,4.0,"-1.467, -78.442"
2010,Ecuador,Ecuador,Tungurahua,Stratovolcano,3.0,"-1.467, -78.442"
2010,Guatemala,Guatemala,Pacaya,Complex volcano,1.0,"14.381, -90.601"
2010,Ecuador,Ecuador,Tungurahua,Stratovolcano,3.0,"-1.467, -78.442"
2010,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,3.0,"2.78, 125.48"
2010,Iceland,Iceland-S,Eyjafjallajokull,Stratovolcano,2.0,"63.63, -19.62"
2008,Ecuador,Ecuador,Tungurahua,Stratovolcano,3.0,"-1.467, -78.442"
2008,United States,Aleutian Is,Kasatochi,Stratovolcano,3.0,"52.18, -175.5"
2007,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2006,Philippines,Luzon-Philippines,Bulusan,Stratovolcano,2.0,"12.77, 124.05"
2006,Ecuador,Ecuador,Tungurahua,Stratovolcano,3.0,"-1.467, -78.442"
2006,Ecuador,Ecuador,Tungurahua,Stratovolcano,3.0,"-1.467, -78.442"
2006,Philippines,Luzon-Philippines,Mayon,Stratovolcano,1.0,"13.257, 123.685"
2006,Indonesia,Java,Merapi,Stratovolcano,1.0,"-7.542, 110.442"
2006,Montserrat,W Indies,Soufriere Hills,Stratovolcano,2.0,"16.72, -62.18"
2005,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2005,El Salvador,El Salvador,Santa Ana,Stratovolcano,3.0,"13.853, -89.63"
2004,Indonesia,Lesser Sunda Is,Egon,Stratovolcano,1.0,"-8.67, 122.45"
2004,Papua New Guinea,New Guinea-NE of,Manam,Stratovolcano,4.0,"-4.1, 145.061"
2004,Indonesia,Java,Tengger Caldera,Stratovolcano,2.0,"-7.942, 112.95"
2003,Montserrat,W Indies,Soufriere Hills,Stratovolcano,3.0,"16.72, -62.18"
2002,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
